"","bioguide_id","icpsr_id"
"1017","B000621",846
"1018","B000622",29507
"1019","B000639",14700
"1020","B000646",868
"1021","B000647",14701
"1022","B000648",15009
"1023","B000656",10801
"1024","B000666",15087
"1025","B000676",891
"1026","B000682",14005
"1027","B000699",913
"1028","B000725",937
"1029","B000727",939
"1030","B000736",948
"1031","B000756",14911
"1032","B000771",11004
"1033","B000778",986
"1034","B000791",997
"1035","B000798",15404
"1036","B000813",1018
"1037","B000817",29138
"1038","B000823",1027
"1039","B000839",11005
"1040","B000845",15012
"1041","B000849",1050
"1042","B000862",14209
"1043","B000867",10506
"1044","B000871",11201
"1045","B000880",1077
"1046","B000884",1081
"1047","B000890",1087
"1048","B000893",10572
"1049","B000897",15632
"1050","B000909",1104
"1051","B000917",11006
"1052","B000940",1130
"1053","B000966",10574
"1054","B000967",1154
"1055","B000969",10507
"1056","B000982",1167
"1057","B000997",15013
"1058","B001024",1205
"1059","B001026",13100
"1060","B001035",1215
"1061","B001036",15405
"1062","B001057",14300
"1063","B001063",29558
"1064","B001076",49103
"1065","B001077",1252
"1066","B001080",14007
"1067","B001090",1264
"1068","B001091",11007
"1069","B001092",1265
"1070","B001102",14008
"1071","B001104",10575
"1072","B001111",1282
"1073","B001113",12004
"1074","B001127",NA
"1075","B001153",14076
"1076","B001155",10576
"1077","B001156",10577
"1078","B001158",15080
"1079","B001165",1328
"1080","B001166",11008
"1081","B001167",1329
"1082","B001172",15089
"1083","B001182",13055
"1084","B001201",11009
"1085","B001209",10802
"1086","B001212",1368
"1087","B001213",39309
"1088","B001216",1371
"1089","B001220",14608
"1090","B001221",13008
"1091","C000002",10707
"1092","C000017",12005
"1093","C000019",1393
"1094","C000054",10708
"1095","C000055",10709
"1096","C000067",10578
"1097","C000079",14609
"1098","C000113",1476
"1099","C000117",1479
"1100","C000120",1482
"1101","C000128",1489
"1102","C000134",29706
"1103","C000137",14408
"1104","C000143",10508
"1105","C000153",13054
"1106","C000154",1510
"1107","C000158",14804
"1108","C000162",1517
"1109","C000164",12044
"1110","C000165",14610
"1111","C000178",14210
"1112","C000189",1540
"1113","C000199",1549
"1114","C000201",10710
"1115","C000220",1569
"1116","C000221",1570
"1117","C000228",1577
"1118","C000261",14409
"1119","C000263",1610
"1120","C000264",1611
"1121","C000275",1620
"1122","C000293",15016
"1123","C000312",15129
"1124","C000321",12007
