id,year,fips_new,fips_old,hand check,note
C001087,1986,,,,
C001087,1987,,,,
C001087,1988,,,,
C001087,1989,,,,"1990-1996 should be in Jonesboro, Arkansas"
C001087,1996,5031,5031,b,
C001087,1997,5031,,w,
C001087,1998,5031,,w,
C001087,1999,5031,,w,
C001087,2000,5031,,w,
C001087,2001,5031,,w,
C001087,2002,5031,,w,
C001087,2003,5031,,w,
C001087,2004,5031,,w,
C001087,2005,5031,,w,
C001087,2006,5031,,w,
C001087,2007,5031,,w,
C001087,2008,5031,,w,
C001087,2009,5031,,w,
C001087,2010,5031,,w,
C001087,2011,5031,,w,
C001087,2012,,,,
C001087,2013,,,,
C001087,2014,,,,
C001087,2015,,,,
C001087,2016,,,,
C001087,2017,,,,
C001102,1959,18137,,,no birthplace; should omit
C001102,1960,18137,,,
C001102,1961,18137,,,
C001102,1962,18137,,,
C001102,1963,18137,,,
C001102,1964,18137,,,
C001102,1965,18137,,,
C001102,1966,18137,,,
C001102,1967,18137,,,
C001102,1968,18137,,,
C001102,1969,18137,,,
C001102,1970,18137,,,
C001102,1971,18137,,,
C001102,1972,18137,,,
C001102,1973,18137,,,
C001102,1974,18137,,,
C001102,1975,18137,,n,
C001102,1976,18137,,n,
C001102,1977,18137,,n,
C001102,1978,49035,,,
C001102,1978,49035,49035,b,
C001102,1978,18137,,,
C001102,1978,18137,49035,,
C001102,1979,18157,49035,,
C001102,1979,49035,49035,b,
C001102,1980,18157,,n,
C001102,1981,18157,,n,
C001102,1982,18157,,n,
C001102,1983,18157,,n,
C001102,1984,25017,18157,,
C001102,1984,25017,,,
C001102,1984,18157,18157,n,
C001102,1984,18157,,,
C001102,1985,25017,,w,
C001102,1986,25017,,w,
C001102,1987,25017,,w,
C001102,1988,25017,,w,
C001102,1989,25017,,n,
C001102,1990,25017,,n,
C001102,2014,,,,
C001102,2016,,,,
C001103,1957,13051,13051,,
C001103,1958,13051,,,
C001103,1959,13051,,,
C001103,1960,13051,,,
C001103,1961,13051,,,
C001103,1962,13051,,,
C001103,1963,13051,,,
C001103,1964,13051,,,
C001103,1965,13051,,,
C001103,1966,13051,,,
C001103,1967,13051,,,
C001103,1968,13051,,,
C001103,1969,13051,,,
C001103,1970,13051,,,
C001103,1971,13051,,,
C001103,1972,13051,,,
C001103,1973,13051,,,
C001103,1974,13051,,,
C001103,1975,13281,13051,,
C001103,1975,13051,13051,,
C001103,1976,13281,,,
C001103,1977,13059,13281,,
C001103,1977,13281,13281,,
C001103,1978,13059,,,
C001103,1979,13059,,,
C001103,1980,13059,13059,,
C001103,1994,13051,13051,,
C001103,1995,13051,13051,,
C001103,1996,13051,13051,,
C001103,1997,13051,13051,,
C001103,1998,13051,13051,,
C001103,1999,13051,13051,,
C001103,2000,13051,13051,,
C001103,2001,13051,13051,,
C001103,2002,13051,13051,,
C001103,2003,13051,13051,,
C001103,2004,13051,13051,,
C001103,2005,,,,
C001103,2006,,13121,,
C001103,2007,,13121,,
C001103,2008,,13121,,
C001103,2009,,13121,,
C001103,2010,,13121,,
C001103,2011,,13121,,
C001103,2012,,13121,,
C001103,2013,,13121,,
C001103,2014,,13121,,
C001103,2014,,,,
C001103,2015,,,,
C001103,2016,,,,
C001103,2017,,,,
C001117,1989,50001,,,
C001117,1990,50001,,,
C001117,1991,50001,,,
C001117,1992,50001,,,
C001117,1993,33009,,,
C001117,1993,50001,,,
C001117,1994,33009,,,
C001117,1995,33009,,,
C001117,1996,33009,,,
C001117,1997,33009,,,
C001117,1998,33009,,,
C001119,1990,47157,,,
C001119,1991,47157,,,
C001119,1992,47157,,,
C001119,1993,47157,,,
C001119,1994,47157,,,
C001123,1971,6037,,,
C001123,1972,6037,,,
C001123,1973,6037,,,
C001123,1974,6037,,,
C001123,1975,6037,,,
C001123,1976,6037,,,
C001123,1977,6037,,,
C001123,1978,6037,,,
C001123,1979,6037,,,
C001123,1980,6037,,,
C001123,1981,6037,,,
C001123,1982,6037,,,
C001123,1983,6037,,,
C001123,1984,6037,,,
C001123,1985,6037,,,
C001123,1986,6037,,,
C001123,1987,6037,,,
C001123,1988,6037,,,
C001123,1989,6037,,,
C001123,1990,6037,,,
C001123,1991,6037,,,
C001123,1992,6037,,,
C001123,1993,6037,,,
C001123,1994,6037,,,
C001123,2007,8031,,,
C001123,2008,8031,,,
C001123,2009,8031,,,
C001123,2010,8031,,,
C001123,2011,8031,,,
C001123,2012,8031,,,
C001123,2013,8031,,,
C001123,2014,8031,,,
C001123,2015,44007,,,
C001123,2015,8031,,,
C001123,2016,44007,,,
C001123,2017,44007,,,
C001123,2018,44007,,,
C001123,2019,44007,,,
D000168,1942,13303,13165,,
D000168,1943,13303,,,
D000168,1944,13303,,,
D000168,1945,13303,,,
D000168,1946,13303,,,
D000168,1947,13303,,,
D000168,1948,13303,,,
D000168,1949,13303,,,
D000168,1950,13303,,,
D000168,1951,13303,,,
D000168,1952,13303,,,
D000168,1953,13303,,,
D000168,1954,13303,,,
D000168,1955,13303,,,
D000168,1956,13303,,,
D000168,1957,13303,,,
D000168,1958,13303,,,
D000168,1959,13303,,,
D000168,1960,13303,,,
D000168,1961,13303,,,
D000168,1962,13303,,,
D000168,1963,13303,,,
D000168,1964,13021,13021,,
D000168,1964,13303,13021,,
D000168,1965,13021,,,
D000168,1966,13021,13021,,
D000168,1966,13021,13021,,
D000168,1966,13021,13121,,
D000168,1966,13021,13053,,
D000168,1966,13021,,,
D000168,1967,,13053,,
D000168,1968,,13053,,
D000168,1970,,,,
D000168,1971,13139,,,
D000168,1971,13139,13139,,
D000168,1972,13139,13139,,
D000168,1977,13139,,,
D000168,1978,13139,,,
D000168,1979,13139,,,
D000168,1981,,13121,,
D000168,1982,,13121,,
D000168,1983,,13121,,
D000168,1984,,13121,,
D000168,1985,,13121,,
D000168,1986,,13121,,
D000168,1987,,13121,,
D000168,1988,,13121,,
D000168,1989,,13121,,
D000168,1990,,13121,,
D000168,1991,,13121,,
D000168,1991,,,,
D000168,1992,,13121,,
D000168,1992,,,,
D000168,1993,,,,
D000168,2011,,,,
D000168,2012,,,,
D000168,2013,,,,
D000168,2014,,,,
D000168,2015,,,,
D000168,2016,,,,
D000168,2017,,,,
D000327,1940,53035,53035,,
D000327,1941,53035,,,
