id,year,fips_new,fips_old
C000994,1976.0,,
C000994,1977.0,,34003
C000994,1977.0,,
C000994,1978.0,,34003
C000994,1978.0,,
C000994,1979.0,,34003
C000994,1979.0,,
C000994,1980.0,,34003
C000994,1980.0,,
C000994,1981.0,,34003
C000994,1981.0,,
C000994,1982.0,,34003
C000994,1982.0,,
C000994,1983.0,,34003
C000994,1983.0,,
C000994,1984.0,,34003
C000994,1984.0,,
C000994,1985.0,,6073
C000994,1985.0,,6073
C000994,1985.0,,
C000994,1985.0,,34003
C000994,1986.0,,
C000994,1986.0,,34003
C000994,1987.0,,
C000994,1987.0,,34003
C000994,1988.0,,
C000994,1988.0,,34003
C000994,1989.0,6073.0,
C000994,1989.0,6073.0,34003
C000994,1990.0,6073.0,
C000994,1990.0,6073.0,34003
C000994,1991.0,6073.0,
C000994,1991.0,6073.0,34003
C000994,1992.0,6073.0,
C000994,1992.0,6073.0,34003
C000994,1993.0,6073.0,
C000994,1993.0,6073.0,34003
C000994,1994.0,6073.0,
C000994,1994.0,6073.0,34003
C000994,1995.0,6073.0,
C000994,1995.0,6073.0,34003
C000994,1996.0,6073.0,
C000994,1996.0,6073.0,34003
C000994,1997.0,6073.0,
C000994,1997.0,6073.0,34003
C000994,1998.0,6073.0,
C000994,1998.0,6073.0,34003
C000994,1999.0,6073.0,
C000994,1999.0,6073.0,34003
C000994,2000.0,6073.0,
C000994,2000.0,6073.0,34003
C000994,2001.0,6073.0,
C000994,2001.0,6073.0,34003
C000994,2002.0,6073.0,
C000994,2002.0,6073.0,34003
C000994,2003.0,6073.0,
C000994,2003.0,6073.0,34003
C000994,2004.0,6073.0,
C000994,2004.0,6073.0,34003
C000994,2005.0,6073.0,
C000994,2005.0,6073.0,34003
C000994,2006.0,,
C000994,2006.0,,34003
C000994,2007.0,,
C000994,2007.0,,34003
C000994,2008.0,,
C000994,2008.0,,34003
C000994,2009.0,,
C000994,2009.0,,34003
C000994,2010.0,,
C000994,2010.0,,34003
C000994,2011.0,,
C000994,2011.0,,34003
C000994,2012.0,,
C000994,2012.0,,34003
C000994,2013.0,,
C000994,2013.0,,34003
C000994,2014.0,,
C000994,2014.0,,34003
C000994,2015.0,,
C000994,2015.0,,34003
C000994,2016.0,,
C000994,2016.0,,34003
C000994,2017.0,,
C000994,2017.0,,34003
C001037,1952.0,25017.0,
C001037,1953.0,25017.0,
C001037,1954.0,25017.0,
C001037,1955.0,25017.0,
C001037,1956.0,25017.0,
C001037,1957.0,25017.0,
C001037,1958.0,25017.0,
C001037,1959.0,25017.0,
C001037,1960.0,25017.0,
C001037,1961.0,25017.0,
C001037,1962.0,25017.0,
C001037,1963.0,25017.0,
C001037,1964.0,25017.0,
C001037,1965.0,25017.0,
C001037,1966.0,25017.0,
C001037,1967.0,25017.0,
C001037,1968.0,25017.0,
C001037,1969.0,33009.0,25017
C001037,1969.0,25017.0,25017
C001037,1970.0,33009.0,
C001037,1971.0,33009.0,
C001037,1972.0,33009.0,
C001037,1973.0,25017.0,33009
C001037,1973.0,33009.0,33009
C001037,1974.0,25017.0,
C001037,1975.0,25017.0,
C001037,1976.0,25017.0,
C001037,1977.0,25017.0,25017
C001037,1978.0,,
C001037,1979.0,,
C001037,1980.0,,
C001037,1981.0,,
C001037,1982.0,,
C001037,1983.0,,
C001037,1984.0,,
C001037,1985.0,25017.0,
C001037,1986.0,25017.0,
C001037,1987.0,25017.0,
C001037,1988.0,25017.0,
C001037,1989.0,25017.0,
C001037,1990.0,25017.0,25017
C001037,1991.0,25017.0,25017
C001037,1992.0,25017.0,25017
C001037,1993.0,25017.0,25017
C001037,1994.0,25017.0,25017
C001037,1995.0,25017.0,25017
C001037,1996.0,25017.0,25017
C001037,1996.0,25017.0,
C001037,1997.0,25017.0,25017
C001037,1998.0,25017.0,25025
C001037,1999.0,,
C001037,2000.0,,
C001037,2001.0,,
C001037,2002.0,,
C001037,2003.0,,
C001037,2004.0,,
C001037,2005.0,,
C001037,2006.0,,
C001037,2007.0,,
C001037,2008.0,,
C001037,2009.0,,
C001037,2010.0,,
C001037,2011.0,,
C001037,2012.0,,
C001037,2013.0,,
C001037,2014.0,,
C001037,2015.0,,
C001037,2016.0,,
C001037,2017.0,,
C001059,1952.0,6019.0,6019
C001059,1953.0,6019.0,
C001059,1954.0,6019.0,
C001059,1955.0,6019.0,
C001059,1956.0,6019.0,
C001059,1957.0,6019.0,
C001059,1958.0,6019.0,
C001059,1959.0,6019.0,
C001059,1960.0,6019.0,
C001059,1961.0,6019.0,
